BIBTEXKEY,first_name,middle_name,last_name,full_name,JOURNAL,NUMBER,PAGES,PUBLISHER,TITLE,VOLUME,YEAR,DOI,ISSN,AUTHOR_KEYWORDS,PUBLICATION_STAGE,AFFILIATIONS,Affiliation_country,Affiliation_country_code,Gender,Gender.Probability,Gender.Count,author_id,paper_id_author_id,author_order,Max,author_last,author_single,unique_name,OA,Citations
Castelvecchi2020149,Stefano,NA,Castelvecchi,Stefano Castelvecchi,Journal of the American Musicological Society,1,149 – 171,University of California Press,On âDiegesisâ and âDiegeticâ: Words and Concepts,73,2020,10.1525/jams.2020.73.1.149,30139,Diegesis/mimesis; Diegeticmusic; Film studies; Genette; Narratology; Opera,Final,"Faculty of Music, University of Cambridge",United Kingdom,GB,male,1,13,author1,Castelvecchi2020149_author1,1,1,0,1,castelvecchi_stefano,Undefined,9
Stefaniak2017697,Alexander,NA,Stefaniak,Alexander Stefaniak,Journal of the American Musicological Society,3,697 – 765,University of California Press,Clara schumann's interiorities and the cutting edge of popular pianism,70,2017,10.1525/jams.2017.70.3.697,30139,Adolph Henselt; Clara Schumann; Interiority; Piano culture; Romantic aesthetics; Virtuosity,Final,"Washington University in St. Louis, Department of Music",United States,GB,male,0.95,203,author1,Stefaniak2017697_author1,1,1,0,1,stefaniak_alexander,Undefined,5
Callahan2018439,Daniel,M.,Callahan,Daniel M. Callahan,Journal of the American Musicological Society,2,439 – 525,University of California Press,The gay divorce of music and dance: Choreomusicality and the early works of Cage-Cunningham,71,2018,10.1525/jams.2018.71.2.439,30139,Appalachian Spring; Erik Satie; John Cage; LGBTQ history; Merce Cunningham; Modern dance,Final,"Boston College, Department of Music",United States,US,male,0.97,1079,author1,Callahan2018439_author1,1,1,0,1,callahan_daniel,Undefined,9
Baade2022221,Christina,NA,Baade,Christina Baade,Journal of the American Musicological Society,2,221 – 271,University of California Press,"Vera lynn sings: Domesticity, Glamour, and National Belonging on 1950s British Television",75,2022,10.1525/jams.2022.75.2.221,30139,NA,Final,"Department of Communication Studies & Multimedia, McMaster University",Canada,CA,female,0.99,175,author1,Baade2022221_author1,1,1,0,1,baade_christina,Undefined,0
Stras2017617,Laurie,NA,Stras,Laurie Stras,Journal of the American Musicological Society,3,617 – 696,University of California Press,Voci pari Motets and convent polyphony in the 1540s: The materna lingua complex,70,2017,10.1525/jams.2017.70.3.617,30139,Convents; Equal voices; Ferrara; Performance practice; Polyphony; Renaissance,Final,"University of Southampton, Department of Music",United Kingdom,GB,female,0.64,14,author1,Stras2017617_author1,1,1,0,1,stras_laurie,Open Access,6
Fink2011179,Robert,NA,Fink,Robert Fink,Journal of the American Musicological Society,1,179 – 238,NA,Goal-directed soul? analyzing rhythmic teleology in African American Popular Music,64,2011,10.1525/jams.2011.64.1.179,30139,Motown; Norman Whitfield; Popular music; Rhythm; Teleology,Final,"University of California, Los Angeles (UCLA), Herb Alpert School of Music",United States,US,male,0.98,484,author1,Fink2011179_author1,1,1,0,1,fink_robert,Undefined,33
Grimley2011394,Daniel,M.,Grimley,Daniel M. Grimley,Journal of the American Musicological Society,2,394 – 398,NA,"Music, landscape, attunement: Listening to Sibelius's Tapiola",64,2011,10.1525/jams.2011.64.2.394,30139,NA,Final,"University of Oxford, Faculty of Music",United Kingdom,GB,male,0.97,1079,author1,Grimley2011394_author1,1,1,0,1,grimley_daniel,Undefined,30
Doe2015317,Julia,NA,Doe,Julia Doe,Journal of the American Musicological Society,2,317 – 374,University of California Press,"Opéra-comique on the Eve of revolution: Dalayrac's Sargines and the development of ""heroic"" comedy",68,2015,10.1525/jams.2015.68.2.317,30139,French revolution; Opéra-comique; Patronage; Politics; Tragédie lyrique,Final,"Columbia University, Department of Music",United States,US,female,0.98,987,author1,Doe2015317_author1,1,1,0,1,doe_julia,Undefined,1
Ward-Griffin2018595,Danielle,NA,Ward-Griffin,Danielle Ward-Griffin,Journal of the American Musicological Society,3,595 – 654,University of California Press,As seen on TV: Putting the NBC opera on stage,71,2018,10.1525/jams.2018.71.3.595,30139,America; NBC; Opera; Performance; Television,Final,"Western University, Department of Music",United States,US,female,0.96,56,author1,Ward-Griffin2018595_author1,1,1,0,1,ward-griffin_danielle,Undefined,7
Slim2009323,Harry,Colin,Slim,H. Colin Slim,Journal of the American Musicological Society,2,323 – 412,NA,Lessons with Stravinsky: The notebook of earnest Andersson (1878-1943),62,2009,10.1525/jams.2009.62.2.323,30139,Earnest Andersson; Futurama symphony; Igor Stravinsky; James Sample; Stravinsky's method of teaching composition,Final,"University of California, Irvine",United States,US,male,0.57,7,author1,Slim2009323_author1,1,1,0,1,slim_h.,Undefined,1
Revuluri2013848,Sindhumathi,NA,Revuluri,Sindhumathi Revuluri,Journal of the American Musicological Society,3,848 – 852,NA,Shifting the gaze,66,2013,10.1525/jams.2013.66.3.825,30139,NA,Final,"Department of Music, Harvard University, United States",United States,US,female,1,1,author1,Revuluri2013848_author1,1,1,0,1,revuluri_sindhumathi,Undefined,0
Monahan2011119,Seth,NA,Monahan,Seth Monahan,Journal of the American Musicological Society,1,119 – 178,NA,I have tried to capture you . . .: Rethinking the Alma Theme from Mahler's Sixth Symphony,64,2011,10.1525/jams.2011.64.1.119,30139,Alma Mahler; Alma theme; Gustav Mahler; Mahler's Sixth Symphony; Musical Autobiography,Final,"Eastman School of Music, University of Rochester",United States,US,male,0.95,66,author1,Monahan2011119_author1,1,1,0,1,monahan_seth,Undefined,11
Crook20091,David,NA,Crook,David Crook,Journal of the American Musicological Society,1,1 – 78,NA,A sixteenth-century catalog of prohibited music,62,2009,10.1525/jams.2009.62.1.1,30139,"Council of Trent, Orlando di Lasso; Counter-Reformation Bavaria; Jesuits; Music censorship",Final,"Department of Music, University of Wisconsin at Madison, Madison, WI, United States",United States,US,male,1,1143153,author1,Crook20091_author1,1,1,0,1,crook_david,Undefined,15
Grier2013605,James,NA,Grier,James Grier,Journal of the American Musicological Society,3,605 – 638,NA,Adémar de chabannes (989-1034) and musical literacy,66,2013,10.1525/jams.2013.66.3.605,30139,Adémar de chabannes; Musical literacy; Musical notation; Plainsong; Saint martial de limoges,Final,"Department of Music History, University of Western, Australia",Australia,AU,male,1,41343,author1,Grier2013605_author1,1,1,0,1,grier_james,Undefined,4
Harrán20113,Don,NA,Harrán,Don Harrán,Journal of the American Musicological Society,1,3 – 50,NA,An early modern Hebrew poem on music in its beginnings and at the end of time,64,2011,10.1525/jams.2011.64.1.3,30139,Jubal kinnor(lyre)Pythagoras; Samuel Archivolti David,Final,"Hebrew University of Jerusalem, Department of Musicology",Israel,IL,male,0.99,142,author1,Harrán20113_author1,1,1,0,1,harrán_don,Undefined,4
Zayaruznaya2012313,Anna,NA,Zayaruznaya,Anna Zayaruznaya,Journal of the American Musicological Society,2,313 – 382,NA,What Fortune can do to a minim,65,2012,10.1525/jams.2012.65.2.313,30139,Fortuna desperata; Jacob Obrecht; Jean Molinet; Josquin des Prez; Mensural notation,Final,"Yale University, Department of Music",United Kingdom,GB,female,0.99,1718,author1,Zayaruznaya2012313_author1,1,1,0,1,zayaruznaya_anna,Undefined,6
Metzer2018703,David,NA,Metzer,David Metzer,Journal of the American Musicological Society,3,703 – 748,University of California Press,Repeated borrowing: The Case of “Es ist genug”,71,2018,10.1525/jams.2018.71.3.703,30139,Alban Berg; Bernd Alois Zimmermann; Christopher Rouse; David Del Tredici; Modernism; Musical borrowing,Final,"University of British Columbia, School of Music",Canada,CA,male,0.96,1945,author1,Metzer2018703_author1,1,1,0,1,metzer_david,Undefined,4
Adlington2016179,Robert,NA,Adlington,Robert Adlington,Journal of the American Musicological Society,1,179 – 236,University of California Press,Whose voices? The fate of Luigi Nono's Voci destroying muros,69,2016,10.1525/jams.2016.69.1.179,30139,Antonio Gramsci; Communism; Luigi Nono; Realism; Voice,Final,"Music at the University of Nottingham, United Kingdom",United Kingdom,GB,male,1,140218,author1,Adlington2016179_author1,1,1,0,1,adlington_robert,Open Access,3
Saltzstein2017583,Jennifer,NA,Saltzstein,Jennifer Saltzstein,Journal of the American Musicological Society,3,583 – 616,University of California Press,Rape and repentance in two medieval motets,70,2017,10.1525/jams.2017.70.3.583,30139,Contrafactum; Motet; Pastourelle; Rape; Refrain; Violence,Final,"University of Oklahoma, School of Music",United States,US,female,0.99,278,author1,Saltzstein2017583_author1,1,1,0,1,saltzstein_jennifer,Undefined,3
Williams2021463,Gavin,NA,Williams,Gavin Williams,Journal of the American Musicological Society,3,463 – 500,University of California Press,Shellac as musical plastic,74,2021,10.1525/jams.2021.74.3.463,30139,Colonial; Gramophone; Materiality; Plastic; Shellac; Technology,Final,"King’s College London, Department of Music",United Kingdom,GB,male,1,92,author1,Williams2021463_author1,1,1,0,1,williams_gavin,Undefined,5
Dumitrescu20125,Theodor,NA,Dumitrescu,Theodor Dumitrescu,Journal of the American Musicological Society,1,5 – 65,NA,"Who was ""Prioris""? A royal composer recovered",65,2012,10.1525/jams.2012.65.1.5,30139,Archives; Blois; Denis prieur; Louis XII; Prioris,Final,"Utrecht University, Department of Media and Culture Studies",The Netherlands,NL,male,0.93,59,author1,Dumitrescu20125_author1,1,1,0,1,dumitrescu_theodor,Undefined,8
Balmer2016699,Yves,NA,Balmer,Yves Balmer,Journal of the American Musicological Society,3,699 – 791,University of California Press,Messiaen the borrower: Recomposing debussy through the deforming prism,69,2016,10.1525/jams.2016.69.3.699,30139,Claude Debussy; Compositional techniques; Musical borrowing; Olivier Messiaen; Pelléas et Mélisande,Final,"Department of Analysis, Conservatoire National Supérieur de Musique et de Danse, Paris, France; Université Libre de Bruxelles, France",France,FR,male,0.99,34480,author1,Balmer2016699_author1,1,3,0,0,balmer_yves,Undefined,8
