"BIBTEXKEY","first_name","middle_name","last_name","full_name","JOURNAL","NUMBER","PAGES","PUBLISHER","TITLE","TYPE","VOLUME","YEAR","DOI","ISSN","URL","AUTHOR_KEYWORDS","LANGUAGE","ABBREV_SOURCE_TITLE","PUBLICATION_STAGE","SOURCE","AFFILIATIONS","Affiliation_country","Affiliation_country_code","Gender","Gender.Probability","Gender.Count","author_id","paper_id_author_id","author_order","Max","author_last","author_single","unique_name","OA","Citations"
"Castelvecchi2020149","Stefano",NA,"Castelvecchi","Stefano Castelvecchi","Journal of the American Musicological Society","1","149 – 171","University of California Press","On âDiegesisâ and âDiegeticâ: Words and Concepts","Article","73",2020,"10.1525/jams.2020.73.1.149","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85104570260&doi = 10.1525%2fjams.2020.73.1.149&partnerID = 40&md5 = 080006395bb21ad3762a76b416cf7d62","Diegesis/mimesis; Diegeticmusic; Film studies; Genette; Narratology; Opera","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",1,13,"author1","Castelvecchi2020149_author1",1,1,0,1,"castelvecchi_stefano","Undefined",9
"Stefaniak2017697","Alexander",NA,"Stefaniak","Alexander Stefaniak","Journal of the American Musicological Society","3","697 – 765","University of California Press","Clara schumann's interiorities and the cutting edge of popular pianism","Article","70",2017,"10.1525/jams.2017.70.3.697","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85039903171&doi = 10.1525%2fjams.2017.70.3.697&partnerID = 40&md5 = 26c63ab78fcbe47b95fffbbad35b91d9","Adolph Henselt; Clara Schumann; Interiority; Piano culture; Romantic aesthetics; Virtuosity","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",0.95,203,"author1","Stefaniak2017697_author1",1,1,0,1,"stefaniak_alexander","Undefined",5
"Callahan2018439","Daniel","M.","Callahan","Daniel M. Callahan","Journal of the American Musicological Society","2","439 – 525","University of California Press","The gay divorce of music and dance: Choreomusicality and the early works of Cage-Cunningham","Article","71",2018,"10.1525/jams.2018.71.2.439","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85058093936&doi = 10.1525%2fjams.2018.71.2.439&partnerID = 40&md5 = f634aac6e62171c723f8bcc6e2557004","Appalachian Spring; Erik Satie; John Cage; LGBTQ history; Merce Cunningham; Modern dance","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",0.97,1079,"author1","Callahan2018439_author1",1,1,0,1,"callahan_daniel","Undefined",9
"Baade2022221","Christina",NA,"Baade","Christina Baade","Journal of the American Musicological Society","2","221 – 271","University of California Press","Vera lynn sings: Domesticity, Glamour, and National Belonging on 1950s British Television","Article","75",2022,"10.1525/jams.2022.75.2.221","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85141399998&doi = 10.1525%2fjams.2022.75.2.221&partnerID = 40&md5 = 9bedbed3ba5e9b406f2be3a2299fcb18",NA,"English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"female",0.99,175,"author1","Baade2022221_author1",1,1,0,1,"baade_christina","Undefined",0
"Stras2017617","Laurie",NA,"Stras","Laurie Stras","Journal of the American Musicological Society","3","617 – 696","University of California Press","Voci pari Motets and convent polyphony in the 1540s: The materna lingua complex","Article","70",2017,"10.1525/jams.2017.70.3.617","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85039902873&doi = 10.1525%2fjams.2017.70.3.617&partnerID = 40&md5 = fbe91ec55416a7fab219c9d1de8898ff","Convents; Equal voices; Ferrara; Performance practice; Polyphony; Renaissance","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"female",0.64,14,"author1","Stras2017617_author1",1,1,0,1,"stras_laurie","Open Access",6
"Fink2011179","Robert",NA,"Fink","Robert Fink","Journal of the American Musicological Society","1","179 – 238",NA,"Goal-directed soul? analyzing rhythmic teleology in African American Popular Music","Article","64",2011,"10.1525/jams.2011.64.1.179","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-79956304461&doi = 10.1525%2fjams.2011.64.1.179&partnerID = 40&md5 = 7cdc21ccb68e63cfeabcba128fda83d8","Motown; Norman Whitfield; Popular music; Rhythm; Teleology","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",0.98,484,"author1","Fink2011179_author1",1,1,0,1,"fink_robert","Undefined",33
"Grimley2011394","Daniel","M.","Grimley","Daniel M. Grimley","Journal of the American Musicological Society","2","394 – 398",NA,"Music, landscape, attunement: Listening to Sibelius's Tapiola","Article","64",2011,"10.1525/jams.2011.64.2.394","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-80052009936&doi = 10.1525%2fjams.2011.64.2.394&partnerID = 40&md5 = ed623e7e4c2679a38262f78e70270f4a",NA,"English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",0.97,1079,"author1","Grimley2011394_author1",1,1,0,1,"grimley_daniel","Undefined",30
"Doe2015317","Julia",NA,"Doe","Julia Doe","Journal of the American Musicological Society","2","317 – 374","University of California Press","Opéra-comique on the Eve of revolution: Dalayrac's Sargines and the development of ""heroic"" comedy","Article","68",2015,"10.1525/jams.2015.68.2.317","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84955590925&doi = 10.1525%2fjams.2015.68.2.317&partnerID = 40&md5 = fe849e68a5b97d8bbecc36e184c875a9","French revolution; Opéra-comique; Patronage; Politics; Tragédie lyrique","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"female",0.98,987,"author1","Doe2015317_author1",1,1,0,1,"doe_julia","Undefined",1
"Ward-Griffin2018595","Danielle",NA,"Ward-Griffin","Danielle Ward-Griffin","Journal of the American Musicological Society","3","595 – 654","University of California Press","As seen on TV: Putting the NBC opera on stage","Article","71",2018,"10.1525/jams.2018.71.3.595","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85061451211&doi = 10.1525%2fjams.2018.71.3.595&partnerID = 40&md5 = 7c7258b1f9724b7f331cdf131a83266b","America; NBC; Opera; Performance; Television","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"female",0.96,56,"author1","Ward-Griffin2018595_author1",1,1,0,1,"ward-griffin_danielle","Undefined",7
"Slim2009323","H.","Colin","Slim","H. Colin Slim","Journal of the American Musicological Society","2","323 – 412",NA,"Lessons with Stravinsky: The notebook of earnest Andersson (1878-1943)","Article","62",2009,"10.1525/jams.2009.62.2.323","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-68549122769&doi = 10.1525%2fjams.2009.62.2.323&partnerID = 40&md5 = a210c94b835c859528fd24fd682d982f","Earnest Andersson; Futurama symphony; Igor Stravinsky; James Sample; Stravinsky's method of teaching composition","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"female",0.57,7,"author1","Slim2009323_author1",1,1,0,1,"slim_h.","Undefined",1
"Revuluri2013848","Sindhumathi",NA,"Revuluri","Sindhumathi Revuluri","Journal of the American Musicological Society","3","848 – 852",NA,"Shifting the gaze","Article","66",2013,"10.1525/jams.2013.66.3.825","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84893451116&doi = 10.1525%2fjams.2013.66.3.825&partnerID = 40&md5 = 0de4c6fcafad26236abfb7a81f178648",NA,"English","J. Am. Musicol. Soc.","Final","Scopus","Department of Music, Harvard University, United States","United States","US","female",1,1,"author1","Revuluri2013848_author1",1,1,0,1,"revuluri_sindhumathi","Undefined",0
"Monahan2011119","Seth",NA,"Monahan","Seth Monahan","Journal of the American Musicological Society","1","119 – 178",NA,"I have tried to capture you . . .: Rethinking the Alma Theme from Mahler's Sixth Symphony","Article","64",2011,"10.1525/jams.2011.64.1.119","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-79956301632&doi = 10.1525%2fjams.2011.64.1.119&partnerID = 40&md5 = ca09a486bd66c401612986b4633d942a","Alma Mahler; Alma theme; Gustav Mahler; Mahler's Sixth Symphony; Musical Autobiography","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",0.95,66,"author1","Monahan2011119_author1",1,1,0,1,"monahan_seth","Undefined",11
"Crook20091","David",NA,"Crook","David Crook","Journal of the American Musicological Society","1","1 – 78",NA,"A sixteenth-century catalog of prohibited music","Article","62",2009,"10.1525/jams.2009.62.1.1","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-70450248863&doi = 10.1525%2fjams.2009.62.1.1&partnerID = 40&md5 = d455b237d9af21758d1cd570530dc7a3","Council of Trent, Orlando di Lasso; Counter-Reformation Bavaria; Jesuits; Music censorship","English","J. Am. Musicol. Soc.","Final","Scopus","Department of Music, University of Wisconsin at Madison, Madison, WI, United States","United States","US","male",1,1143153,"author1","Crook20091_author1",1,1,0,1,"crook_david","Undefined",15
"Grier2013605","James",NA,"Grier","James Grier","Journal of the American Musicological Society","3","605 – 638",NA,"Adémar de chabannes (989-1034) and musical literacy","Article","66",2013,"10.1525/jams.2013.66.3.605","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84893512034&doi = 10.1525%2fjams.2013.66.3.605&partnerID = 40&md5 = 8ec8cb411b5f61f73e6ff3573f221515","Adémar de chabannes; Musical literacy; Musical notation; Plainsong; Saint martial de limoges","English","J. Am. Musicol. Soc.","Final","Scopus","Department of Music History, University of Western, Australia","Australia","AU","male",1,41343,"author1","Grier2013605_author1",1,1,0,1,"grier_james","Undefined",4
"Harrán20113","Don",NA,"Harrán","Don Harrán","Journal of the American Musicological Society","1","3 – 50",NA,"An early modern Hebrew poem on music in its beginnings and at the end of time","Article","64",2011,"10.1525/jams.2011.64.1.3","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-79956308308&doi = 10.1525%2fjams.2011.64.1.3&partnerID = 40&md5 = b29a18ee34a7cbac7aa2d2854d0d384f","Jubal kinnor(lyre)Pythagoras; Samuel Archivolti David","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",0.99,142,"author1","Harrán20113_author1",1,1,0,1,"harrán_don","Undefined",4
"Zayaruznaya2012313","Anna",NA,"Zayaruznaya","Anna Zayaruznaya","Journal of the American Musicological Society","2","313 – 382",NA,"What Fortune can do to a minim","Article","65",2012,"10.1525/jams.2012.65.2.313","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84866337790&doi = 10.1525%2fjams.2012.65.2.313&partnerID = 40&md5 = d7ae6954d0ebe61f2a4a603286a15ffd","Fortuna desperata; Jacob Obrecht; Jean Molinet; Josquin des Prez; Mensural notation","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"female",0.99,1718,"author1","Zayaruznaya2012313_author1",1,1,0,1,"zayaruznaya_anna","Undefined",6
"Metzer2018703","David",NA,"Metzer","David Metzer","Journal of the American Musicological Society","3","703 – 748","University of California Press","Repeated borrowing: The Case of “Es ist genug”","Article","71",2018,"10.1525/jams.2018.71.3.703","00030139","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85061447855&doi = 10.1525%2fjams.2018.71.3.703&partnerID = 40&md5 = c6e06a6124ee41111876bfa67d5a3a0e","Alban Berg; Bernd Alois Zimmermann; Christopher Rouse; David Del Tredici; Modernism; Musical borrowing","English","J. Am. Musicol. Soc.","Final","Scopus",NA,NA,NA,"male",0.96,1945,"author1","Metzer2018703_author1",1,1,0,1,"metzer_david","Undefined",4
